name,mbti,gender,category,subcategory
Kim Kardashian,istj,female,Actor,Film/TV
Sigmund Freud,istj,male,unknown,unknown
Irene (Red Velvet),istj,unknown,unknown,unknown
Tzuyu (TWICE),istj,unknown,unknown,unknown
Moriah Rose Pereira (Poppy),istj,unknown,unknown,unknown
Queen Elizabeth II,istj,unknown,unknown,unknown
Jeff Bezos,istj,male,unknown,unknown
Jade Picon,istj,female,Actor,Film/TV
Vitor Santos (Metaforando),istj,unknown,unknown,unknown
Natalie Portman,istj,female,Scientist,General
Sunghoon (ENHYPEN),istj,unknown,unknown,unknown
Johann Sebastian Bach,istj,male,unknown,unknown
Morgan Freeman,istj,male,Actor,Film/TV
Angela Merkel,istj,female,unknown,unknown
George Washington,istj,male,Economist,General
Xi Jinping (习近平),istj,unknown,unknown,unknown
D.O. (EXO),istj,unknown,unknown,unknown
Mike Pence,istj,male,unknown,unknown
John Jurasek (TheReportOfTheWeek / Reviewbrah),istj,unknown,unknown,unknown
